Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
"Actions taken in response to the spill were reported to include excavating the area impacted by sodium hydroxide and cleaning the roadway of the diesel. The local law enforcement responded to the scene, and OMI Environmental Solutions has been hired to remediate the impacted area.","On August 21, 2017, at 1244 hours, Mr. David Miletta with BNSF Railway reported a spill of approximately 500 gallons of sodium hydroxide also known as lye or caustic soda from a railcar near the Longview Subdivision, San Augustine (San Augustine County), Texas. The reported cause of spill was a logging truck sticking the train. An unknown amount of diesel was also spilled from the saddle tanks of the logging truck. The spill occurred on August 21, 2017, at 1038 hours and impacted land.","SAN AUGUSTINE, SAN AUGUSTINE","On August 21, 2017, Ms. Hope Davila, Texas Commission on Environmental Quality (TCEQ) Region 10 Emergency Response (ER) Coordinator, received notification from Chemtel (Report 20172583) and the National Response Center (NRC) (Report 1187953). On August 21, 2017, Ms. Davila spoke with Judge Sayme Johnson and Sheriff Robert Cartwright via telephone who stated that 13 train cars had derailed, and only one car was leaking. The other derailed cars were thought to be empty. No evactuations, fatalities, or major road closures were reported. Mr. Jeff Madden with BNSF Railway and Mr. Travis Hudson with OMI Environmental Services via telephone who stated that the Texas Department of Transportation (TxDOT) had cleaned the diesel spill, and OMI Environmental Services were onsite remediating the area impacted by the sodium hydroxide spill. On August 22, 2017, Ms. Davila telephoned Mr. Hudson who stated that the derailed rail cars were moved off the track and the railway was repopened on August 21, 2017. He stated that OMI Environmental Services were further excavating the impacted area and would sample the soil to confirm proper remediation. Mr. Hudson confirmed that the required 30-day follow-up report would be submitted by either OMI Environemtal Services or BNSF Railway.",08/21/2017,08/21/2017,,RN104037684,GENERIC INCIDENT ZIP CODE 75972,INITIAL REPORT,EMERGENCY RESPONSE,266105
The Boiler stacks will be monitored while during shutdown operations.,"The initial STEERs indicated the potential for an Opacity exceedance during (startup or shutdown) of this boiler due to Hurricane Harvey. During the (startup or shutdown), the Opacity limits were not exceeded. Also note, based on the Governor’s suspension of regulations associated with Hurricane Harvey, INVISTA will not be revising this report to include other activities associated with Hurricane Harvey.","VICTORIA, VICTORIA",Continuous Opacity Monitoring System.,08/24/2017 9:30AM,08/29/2017 9:30AM,APPROX 1.0 MI W OF INTX OF FM1686 AND SH185 ABOUT 8 MI S OF VICTORIA,RN102663671,INVISTA SARL,FINAL REPORT,AIR SHUTDOWN,266106
WE HAd A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT, LAT: 32*01'22"" LON 102*38'43""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 1360 Volume is: Metered % H2S: 1.46 BTU / Cu Ft: 1,400.86 % NMNE: 17.74",08/23/2017 2:00PM,08/24/2017 1:50PM,FROM GOLDSMITH GO 2.5 MI W ON SCHARBAUER RD GO N ON STATION RD FOR 2.1 TO LEASE RD TURN E ONTO LEASE RD AND GO 0.5 MI TO LOCATION,RN102752920,GOLDSMITH LANDRETH DEEP UNIT STATION 6,FINAL REPORT,EMISSIONS EVENT,266109
Vent gas routed to Elevated Flare,Unit start up following a the planned shutdown in preparation for Hurricane Harvey.,"POINT COMFORT, CALHOUN",Engineering Calculations,09/04/2017 10:00AM,09/05/2017 4:10PM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,AIR STARTUP,266110
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT, LAT: 32*00'36"" LON 102*39'5""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 397 Volume is: Metered % H2S: 1.37 BTU / Cu Ft: 1,508.83 % NMNE: 21.53",08/23/2017 2:00PM,08/24/2017 1:50PM,NEAR GOLDSMITH,RN102421716,GLDU STATION 8,FINAL REPORT,EMISSIONS EVENT,266112
Initial report was for potential to exceed MAERT limits. Actual start up resulted in no emissions greater than the MAERT authorizations.,Unit shutdown in preparation for potential landfall of tropical system Harvey,"POINT COMFORT, CALHOUN",Engineering Calculations,08/24/2017 10:00PM,08/25/2017 10:00PM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,AIR SHUTDOWN,266113
"FHR shut down the East Refinery operating units in preparation for Hurricane Harvey. The activities were conducted as per unit hurricane shutdown procedures. To the extent possible, unit shutdown, depressurization, and purging was conducted on a staggered basis to control emissions. Activities were documented in the operation logs as a record for the activity. In addition to the affirmative defense provided in 30 T.A.C. § 101.222(c), FHR is asserting the defense provided in Texas Water Code § 7.251 for the unauthorized emissions associated with the unplanned shutdown of the East Refinery in preparation for Hurricane Harvey.","On August 24, 2017 at approximately 8:30 am, Flint Hills Resources Corpus Christi, LLC (“FHR”) began shutting down the East Refinery operating units in preparation for Hurricane Harvey. Due to the expedited shutdown of the operating units and the potential for unauthorized emissions, FHR submitted an initial SMSS STEERS report (TCEQ Incident #266114 (AEME ID 148863)) on August 24, 2017, prior to commencing unplanned shutdown activities. The start time and duration above reflect the start time and duration of the overall shutdown activities.As part of the shutdown, the Flare Gas Recovery Unit (“FGRU”) was shut down once there were not enough combustion sources to consume the captured flare gas. As a result, flaring occurred from the 36” flare until August 30, 2017. Upon review following completion of the shutdown, FHR has determined that the flaring activities due to shutdown were contemplated as part of the planned shutdown activities authorized under FHR’s Flexible Permit 6308 Maintenance, Startup and Shutdown (“MSS”) Special Conditions, and that the estimated flaring emissions were below the Permit 6308 MAERT SO2, NOx, VOC, CO, and H2S limits for authorized planned MSS activities. Therefore, the 36 Inch Plant Flare’s FIN/EPN have been removed from this final report. As part of the shutdown of the East Refinery in preparation for Hurricane Harvey, both Sulfur Recovery Units (“SRUs”) No. 1 and No. 2 were shut down. The simultaneous shutdown of both SRUs is not a planned shutdown activity and thus is not an authorized MSS scenario under Permit 6308. As a result, the unplanned shutdown of both SRUs No. 1 and No. 2 resulted in unauthorized emissions from the Tail Gas Incinerator (“TGI”) associated with the shutdown of the Claus Unit and Tail Gas Treating Unit. Note, however, that the unauthorized emissions from the SRU shutdowns did not exceed the pre-notification estimates provided in the initial SMSS STEERS report.","CORPUS CHRISTI, NUECES","Flaring emissions estimates were based on analysis of process data, which included flow meters and concentration analyzers, as applicable, to determine speciation, stream composition, and/or flow rate. Destruction efficiencies and flare factors are from the “July 1996 TCEQ Technical Guidance Package for Flare Sources”. As noted above, flaring emissions were authorized under Permit 6308 and thus have not been included in this final report. The sulfur dioxide emissions from the SRU No. 1 and No. 2 incinerators were calculated using the flow rate of gas through the unit (corrected for chemical reaction and oxygen), the monitored sulfur dioxide concentration out of the TGI stack utilizing a CEMS, and the event duration. When either the SRU No. 1 or No. 2 incinerator temperature dropped below 1,000 degrees Fahrenheit, hydrogen sulfide emissions were calculated by assuming a one-to-one ratio with the monitored sulfur dioxide concentration out of the TGI stack utilizing a CEMS.",08/24/2017 8:30AM,08/30/2017,,RN102534138,FLINT HILLS RESOURCES EAST REFINERY,FINAL REPORT,AIR SHUTDOWN,266114
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT, LAT 32*0'38"" LONG 102*38'58""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 506 Volume is: Metered % H2S: 1.236 BTU / Cu Ft: 1,483.97 % NMNE: 20.46",08/23/2017 2:00PM,08/24/2017 1:50PM,"FROM GOLDSMITH, GO W ON SCHARBAUER RD FOR 2.5M TURN N ON STATION R",RN102416476,GLDU STATION 9,FINAL REPORT,EMISSIONS EVENT,266115
Vent gas is being routed to elevated flare,Unit start up following a planned shutdown due to preparation for Hurricane Harvey.,"POINT COMFORT, CALHOUN",Engineering Calculations,09/04/2017 7:49AM,09/04/2017 12:21PM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,AIR STARTUP,266116
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT, LAT: 31*59'17"" LON 102*40'29""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 616 Volume is: Metered % H2S: 1.005 BTU / Cu Ft: 1,431.06 % NMNE: 17.76",08/23/2017 2:00PM,08/24/2017 1:50PM,FROM GOLDSMITH AT INTERSECTION OF 158 AND SCHARBAUER RD GO N NW ON SCHARBAUER 2.4 MI TO STATION RD GO N ON STATION RD 1 MI THEN W ON LEASE RD 0.4 MI TURN N ON LEASE CATTLE GUARD GO N 1 MI TO LOCATION,RN102598810,GOLDSMITH LANDRETH DEEP UNIT STATION 10,FINAL REPORT,EMISSIONS EVENT,266118
"FHR shut down the West Refinery operating units in preparation for Hurricane Harvey. The activities were conducted as per unit hurricane shutdown procedures. To the extent possible, unit shutdown, depressurization, and purging was conducted on a staggered basis to control emissions. During shutdown, it became necessary to route depressurization and purges to the flare to allow the operating units to be shut down in a safe and timely manner (As noted above, the resulting flaring emissions were authorized under Permit 6819A and thus have not been included in this final report.). Activities were documented in the operation logs as a record for the activity. In addition to the affirmative defense provided in 30 T.A.C. § 101.222(c), FHR is asserting the defense provided in Texas Water Code § 7.251 for the unauthorized emissions associated with the unplanned shutdown of the West Refinery in preparation for Hurricane Harvey.","On August 24, 2017 at approximately 6:40 am, Flint Hills Resources Corpus Christi, LLC (“FHR”) began shutting down the West Refinery operating units in preparation for Hurricane Harvey. Due to the expedited shutdown of the operating units and the potential for unauthorized emissions, FHR submitted an initial SMSS STEERS report (TCEQ Incident #266120 (AEME ID 148889)) on August 24, 2017, prior to commencing unplanned shutdown activities. The start time and duration above reflect the start time and duration of the overall shutdown activities. Initially, the depressurization, decommissioning and purging activities associated with the shutdown exceeded the capacity of the Flare Gas Recovery Unit (“FGRU”) thus causing flaring from the second stage flare. Subsequently, as part of the shutdown, the FGRU was shut down once there were not enough combustion sources to consume the captured flare gas. As a result, flaring continued from the second stage flare until August 29, 2017. Upon review following completion of the shutdown, FHR has determined that the flaring activities due to shutdown were contemplated as part of the planned shutdown activities authorized under FHR’s Subchapter B Permit 6819A Maintenance, Startup and Shutdown (“MSS”) Special Conditions, and that the estimated flaring emissions were below the Permit 6819A MAERT VOC, SO2, NOx, CO, and H2S limits for authorized planned MSS activities. Therefore, the Main Plant Flare System’s FIN/EPN have been removed from this final report. As part of the shutdown of the West Refinery in preparation for Hurricane Harvey, both Sulfur Recovery Units (“SRUs”) No. 2 and No. 3 were shut down. The simultaneous shutdown of both SRUs is not a planned shutdown activity and thus is not an authorized MSS scenario under Permit 6819A. As a result, the unplanned shutdown of both SRUs No. 2 and No. 3 resulted in unauthorized emissions from the Tail Gas Incinerator (“TGI”) associated with the shutdown of the Claus Unit and the Tail Gas Treating Unit. Note, however, that the unauthorized emissions from the SRU shutdowns did not exceed the pre-notification estimates provided in the initial SMSS STEERS report.","CORPUS CHRISTI, NUECES","Flaring emissions estimates were based on analysis of process data, which included flow meters and concentration analyzers, as applicable, to determine speciation, stream composition, and/or flow rate. Destruction efficiencies and flare factors are from the “July 1996 TCEQ Technical Guidance Package for Flare Sources”. As noted above, flaring emissions were authorized under Permit 6819A and thus have not been included in this final report. The sulfur dioxide emissions from the SRU No. 2 and No. 3 incinerators were calculated using the flow rate of gas through the unit (corrected for chemical reaction and oxygen), the monitored sulfur dioxide concentration out of the TGI stack utilizing a CEMS, and the event duration. When either the SRU No. 2 or No. 3 incinerator temperature dropped below 1,200 degrees Fahrenheit, hydrogen sulfide emissions were calculated by assuming a one-to-one ratio with the monitored sulfur dioxide concentration out of the TGI stack utilizing a CEMS.",08/24/2017 6:40AM,08/29/2017 4:00PM,,RN100235266,FHR CORPUS CHRISTI WEST PLANT,FINAL REPORT,AIR SHUTDOWN,266120
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT, LAT: 31*59'45"" LON 102*39'41""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 377 Volume is: Metered % H2S: 1.343 BTU / Cu Ft: 1,430.84 % NMNE: 18.69",08/23/2017 2:00PM,08/24/2017 1:50PM,FROM GOLDSMITH GO W ON SCHARBAUER RD APPROX 2.5 MI TURN N ON STATION RD AND GO 0.5 MI TURN W ON LEASE RD AND GO 0.4 MI TO SATELLITE 11 THE LANDRETH DEEP UNIT CTB IS LOCATED 0.2 MI N OF SATELLITE 11 ON THE LEASE RD ADJACENT TO SATELLITE 11,RN102996071,GOLDSMITH LANDRETH DEEP UNIT CTB AND SATELLITE 11,FINAL REPORT,EMISSIONS EVENT,266121
Vent gas being routed to Elevated Flare,Unit start up following a planned unit shutdown in preparation for hurricane Harvey.,"POINT COMFORT, CALHOUN",Engineering Calculations,09/07/2017 9:29AM,09/08/2017 3:07AM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,AIR STARTUP,266122
Vent gas routed to Elevated flare,Unit shut down in preparation for potential landfall of tropical system Harvey,"POINT COMFORT, CALHOUN",Engineering Calculations,08/24/2017 8:05PM,08/25/2017 11:18AM,PLANT LOCATED NE OF INTX OF FM 1593 AND HWY 35,RN100218973,FORMOSA POINT COMFORT PLANT,FINAL REPORT,AIR SHUTDOWN,266124
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT LAT: 31*59'48"" LON 102*38'30""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 839 Volume is: Metered % H2S: 1.757 BTU / Cu Ft: 1,408.79 % NMNE: 18.31",08/23/2017 2:00PM,08/24/2017 1:50PM,FROM GOLDSMITH GO NW ON SCHARBAUER RD FOR ABOUT 2.5 MI TURN N ON STATION RD AND GO 0.6 MI AND FACILITY IS LOCATED 0.5 MI E OF ROADWAY,RN102416013,GSMITH LANDRETH DEEP ST12,FINAL REPORT,EMISSIONS EVENT,266125
DCP REPAIRED CHECK VALVES ON TURBINE. FLARING WAS USED TO MINIMIZE EMISSIONS UNTIL DCP WAS ABLE TO RESTORE PLANT TO NORMAL OPERATIONS.,DCP PLANT TURBINE ISSUES.,"GOLDSMITH, ECTOR","Gas analysis and flowrate were used to estimate emissions based on the following formulas: Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Attachment A - Rule Compliance Demonstration Request This information request was extracted from TCEQ Rule 101 .222(a-b) regarding demonstration criteria. These responses should be addressed under the appropriate sections of the final report for the incident eg; Cause of Emissions Event, Actions Taken to Minimize Emissions, and Any Additional Information Necessary to Evaluate the Event. (1) How many reportable and recordable emissions events (including this incident) have occurred at the facility/facilities contributing emissions during this incident for the 12 month period prior to this incident? ~8 (2) What were the facility/facilities total actual operating hours during the past 12 months? 8760 (3) Identify the cause or causes of the emissions event and include all contributing factors that led to the emissions event. Discuss how the emissions event could not have been avoided by good design, maintenance, and operation practices, if applicable. Discuss any sudden breakdown of equipment or process that was beyond the owner/operators control, if applicable. DCP PLANT TURBINE ISSUES. FLARING WAS USED TO MINIMIZE EMISSIONS UNTIL DCP WAS ABLE TO RESTORE PLANT TO NORMAL OPERATIONS. (4) How were the air pollution control equipment or processes (if any) maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emissions events? Flaring was used to minimize emissions. Flares were properly operated. (5) How soon was action taken to achieve compliance once the operator knew or should have known that applicable emission limitations were being exceeded? Once the control panel shut the compressor down gas was immediately routed to the flare (6) How were the amount and duration of the unauthorized emissions and any bypass of pollution control equipment minimized? Emissions were minimized by use of a flare. The flare is the control device, functioned properly, and there was no pollution control equipment bypass. (7) What was the operational status of all emission monitoring systems at the facility/facilities during this emissions event? If any emission monitoring systems were not kept in operation during the emissions event, explain why they weren¿t kept in operation. No monitoring systems are required for this site. Field gas production from this site was diverted to the flare and the flare remained ignited until the pressures dropped below the rated pressures for the equipment at this site. (8) How were the owner or operator¿s actions in response to the unauthorized emissions contemporaneously documented? The TCEQ STEERS reporting system was used to provide initial notice of the event. The e mission estimates were calculated by use of the gas flow rate and gas analysi s. ( 9) Have other similar i n cident s oc",08/23/2017 4:00PM,08/26/2017 4:00AM,FROM THE INTX OF FM 158 & FM 866 GO 3 MI SE OF GOLDSMITH TX TO RD 2 TURN W AND GO TO 1/2 MILE RD TURN N GO 1/2 MI TO SITE,RN104149430,GSAU 2 2 BATTERY,FINAL REPORT,EMISSIONS EVENT,266126
This incident has been assigned and will be further investigated by an Environmental Investigator.,"On August 20, 2017, an emergency response was received by the TCEQ El Paso Region Office for a spill of 200 gallons of diesel which occurred within Zip Code 79905.","EL PASO, EL PASO",More information will be available upon approval of the investigation report.,08/20/2017,08/20/2017,,RN104057500,GENERIC INCIDENT ZIP CODE 79905,INITIAL REPORT,EMERGENCY RESPONSE,266129
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT, LAT: 31*59'10"" LON 102*37'47""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 526 Volume is: Metered % H2S: 0.828 BTU / Cu Ft: 1,431.40 % NMNE: 17.65",08/23/2017 2:00PM,08/24/2017 1:50PM,FROM GOLDSMITH GO 1 MI W ON SCHARBAUER RD FACILITY IS APPROXIMATELY 500 YD TO THE N OF SCHARBAUER RD,RN102417698,GOLDSMITH LANDRETH DEEP UNIT STATION 14,FINAL REPORT,EMISSIONS EVENT,266132
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,"FLARING WAS DUE TO THE DCP GOLDSMITH PLANT HAVING ISSUES FROM THE STORM LAST NIGHT, LAT: 31*58'48"" LON 102*39'27""","GOLDSMITH, ECTOR","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 818 Volume is: Metered % H2S: 0.809 BTU / Cu Ft: 1,375.27 % NMNE: 15.55",08/23/2017 2:00PM,08/24/2017 1:50PM,"SCHARBAUER RD 2 M W GOLDSMITH, T/S LSE RD 0.25 M",RN102419686,GLDU STATION 13,FINAL REPORT,EMISSIONS EVENT,266135
"To minimize emissions, the leaking ethylene valve was isolated from the flare header immediately upon discovery of the leak.","The ethylene import valve was found to be leaking by to the flare header after the process unit and flare were shut down. Since the flare had no flame at the time, the ethylene released through the flare stack was not combusted.","LA PORTE, HARRIS","Process knowledge, process data and engineering calculations were used to determine quantities released.",08/23/2017 1:22PM,08/23/2017 6:32PM,APPROXIMATELY 1 MILE NORTH OF HIGHWAY 225 ON MILLER CUT OFF RD,RN100210319,EQUISTAR CHEMICALS LA PORTE COMPLEX,FINAL REPORT,EMISSIONS EVENT,266136
The complaint has been assigned and will be further investigated by an Environmental Investigator.,The complainant alleges improper waste application to a field.,"HICO, ERATH",More information will be available upon approval of the investigation.,08/22/2017,08/22/2017,E SIDE OF CR 209 APPROX 4 MI S OF INTXN CR 209 & US HWY 67 APPROX 7 MI SE OF STEPHENVILLE,RN101523090,TWO SISTERS HEIFER RANCH,INITIAL REPORT,,266137
