Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
"Operations personnel took immediate action and shutdown the unit, thus reducing flaring activity.",HCU2 completely shut down and flared due to an unexpected displacement on the recycle gas compressor’s shaft during a planned shutdown activity on the unit.,"PORT ARTHUR, JEFFERSON",Process engineering estimates.,05/04/2015 9:05AM,05/04/2015 9:38AM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,213516
Flow was reduced to the header in order to minimize emissions.,"At approximately 3 am on May 5, 2015 the Shell Deer Park manufacturing site experienced a release of hydrocarbon vapors into the atmosphere from a buried flare line. Line repair activities were completed on 6/26/15 at approximately 19:00 to stop the leak. An investigation will be conducted to determine the cause of the release. The emissions listed in the EPCN are the total emissions released during the duration of the event (all unauthorized). However there were no RQs exceeded during any 24-hr period. Based on the information known at the time of this final report, Shell is not aware of any confirming information that would indicate that the affirmative defense criteria could not be met for this emission event. However, because the investigation of the emission event has not yet been completed, Shell's ""YES"" response to the affirmative defense question below may not represent a final response for determining application of the affirmative defense. The indicated response to the question was required for purposes of completing and submitting this initial report in a timely manner. Additional information regarding the basis for Shell's response to the affirmative defense question may be provided upon request when available.","DEER PARK, HARRIS",Emissions are based on engineering estimates.,05/05/2015 3:00AM,06/26/2015 7:00PM,,RN100211879,SHELL OIL DEER PARK,FINAL REPORT,EMISSIONS EVENT,213585
"Upon discovery, FHR Operations personnel immediately shutdown the pump and isolated the affected piping, stopping the leak. Firewater was used to suppress the vapors.","On May 6, 2015 at approximately 07:40 hours, facility Operations personnel were attempting to start a pump (10P-101) in the Light Olefins Unit at the Flint Hills Resources Port Arthur, LLC (FHR) Port Arthur Chemicals (PAC) facility when a hole formed in the pump’s discharge piping.","PORT ARTHUR, JEFFERSON","Emissions estimates are based on engineering estimate and judgment, stream speciation, and engineering calculations. Emissions of benzene are estimated to have exceeded a federal RQ. Note that at the time of the Initial STEERS Report, formal emissions estimates were not available. FHR stated in the report that, “All amounts released, listed in this report, are preliminary estimates of the potential emissions. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.” By way of clarification, at the time of the Initial STEERS report, FHR utilized available information, engineering experience and judgment, and engineering calculations to identify the substances FHR anticipated could experience a release of an amount that might exceed an RQ.Based on information known to FHR, the release began on May 6, 2015 at about 07:40 hours. The release was assumed to have ended on May 6, 2015 at about 08:40 hours. For the purpose of this report, the duration for this event was 1 hours.The Initial STEERS Report was entered as soon as practicable, but not later than 24 hours after the discovery of an emissions event as per § 101.201(a)(1)(A). In accordance to applicable regulations and guidelines, the National Response Center (NRC) and the Texas State Emergency Response Commission (SERC) were notified as indicated below. NRC# 1115617, P.O. Ennis, 05/06/2015 08:00 hours SERC# 20151561, Susan, 05/06/2015 8:36 hours",05/06/2015 7:40AM,05/06/2015 8:40AM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,FINAL REPORT,EMISSIONS EVENT,213669
"The flare was utilized to minimize emissions, and the valve was repositioned to end the event. There is no indication of offsite impacts as a result of the event. The refinery has returned to normal operations and anticipates no impact to production.",A valve malfunction resulted in flaring.,"BEAUMONT, JEFFERSON",Engineering Calculations,05/06/2015 9:59AM,05/06/2015 10:22AM,,RN102450756,EXXONMOBIL BEAUMONT REFINERY,FINAL REPORT,EMISSIONS EVENT,213670
"Upon identification of this incident, FHR initiated prompt measures to assess, minimize, and correct the upset conditions. Once steam was reintroduced to the wet gas compressor, the FCC unit was brought to a safe and stable state and flaring ceased. Fence line monitoring was performed with zero readings for VOCs, H2S, SO2, HCN, and CO. The Cogen was restarted the following day.","On May 10th, 2015, the Cogeneration unit “Cogen” at the Flint Hills Resources Corpus Christi, LLC (“FHR”) West Refinery unexpectedly shutdown due to a malfunctioning probe reading high vibrations on the Cogen turbine. The Cogen produces steam and electrical power for the West Refinery. As a result of the trip, steam shedding was implemented throughout the facility. The loss of steam caused the Fluidized Catalytic Cracking (“FCC”) unit wet gas compressor to relieve pressure to the 2nd stage flare system resulting in a flaring event for about 10 minutes. Smoke was observed at the 2nd stage flare during the flaring event due to the loss of steam as the flare system is steam assisted. The Cogen began start up procedures on May 11, 2015, which contributed to additional emissions of NOx.","CORPUS CHRISTI, NUECES","FHR initially reported a reportable quantity for NOx but later refined calculations determining that no reportable quantities were exceeded. The emission estimate for NOx during the Cogen startup was based on the times in which the turbine ran without steam injection using the AP 42 uncontrolled turbine factor and fuel usage. Steam injection was intermittent throughout the duration of the startup procedure. The flaring event emission estimates are based on process knowledge which includes stream composition, system pressure, flow rate, and destruction efficiency. The entire duration of the event was estimated from the time the Cogen tripped to the time at which the Cogen Unit was back up and steam injection remained constant. As noted above, flaring occurred for only about ten minutes of this duration.",05/10/2015 9:59AM,05/11/2015 12:35PM,,RN100235266,FHR CORPUS CHRISTI WEST PLANT,FINAL REPORT,EMISSIONS EVENT,213852
"In response to the leak located on the high pressure steam line, FHR brought down the LOU to minimum production rates prior to shutting down and de-pressurizing necessary equipment for maintenance. Process streams were routed to the LOU flare for destruction during the LOU shutdown, outage, and startup processes. FHR utilized pre-existing shutdown and startup procedures in order to minimize emissions during this planned event.","Flint Hills Resources Port Arthur, LLC (FHR) Operations personnel discovered a high pressure steam leak in the Light Olefins Unit (LOU). Upon discovery of the leak, FHR evaluated the leak and determined that there were no viable on-line repair options. In order to minimize flaring emissions and safely complete the maintenance activity, FHR brought down the LOU to minimum production rates, shutdown the unit, and de-pressurized equipment to make the required repairs. Once the maintenance was completed, FHR brought the LOU back on-line. This notification encompasses emissions due to the shutdown, outage, and subsequent startup. During this event, the LOU Flare was observed to have smoked intermittently.","PORT ARTHUR, JEFFERSON","Emissions estimates are based on engineering estimate and judgment, stream speciation, flare flow rate, estimated duration, and engineering calculations. Emissions of benzene, 1,3-butadiene, and nitrogen oxides are estimated to have exceeded a federal reportable quantity (RQ) and emissions of carbon monoxide and ethylene are estimated to have exceeded a state RQ.Note that at the time of the Initial STEERS Report, formal emissions estimates were not available. FHR stated in the report that, “All amounts released, listed in this report, are preliminary estimates of the potential emissions. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.” By way of clarification, at the time of the Initial STEERS report, FHR utilized available information, engineering experience and judgment, and engineering calculations to identify the substances FHR anticipated could experience a release of an amount that might exceed an RQ.Based on information known to FHR, the release began on May 12, 2015 at about 00:33 hours. The release was assumed to have ended on May 15, 2015 at about 01:21 hours. For the purpose of this report, the duration for this event was 72 hours and 48 minutes. This notification is not being filed more than 10 days prior to the planned maintenance event, however, FHR is filing the notice as soon as practicable, in accordance with 30 TAC §101.211(a). In accordance to applicable regulations and guidelines, the National Response Center (NRC) and the Texas State Emergency Response Commission (SERC) were notified as indicated below. NRC# 1116477, Weatherly, 05/14/2015 05:46 hours SERC# N/A, Susan Bailey, 05:53 hours NRC# 1116361, Weatherly, 05/13/2015 05:57 hours SERC# 20151665, Susan Bailey, 05/13/2015 06:04 hours NRC# 1116239, P.O. Threat, 05/12/2015 04:27 hours SERC# 20151638, Maria V., 05/12/2015 04:36 hours",05/12/2015 12:33AM,05/15/2015 1:21AM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,FINAL REPORT,MAINTENANCE,213883
"Operations personnel conducted an investigation and were able to determine that MOV-102F was not completely seated. On May 11, 2015 at approximately 11:45 hours, Operations personnel manually adjusted MOV-102F to properly seat the valve which stopped the leak to the decoke drum. On the same day at approximately 15:45 hours, temperature and VOC monitoring readings indicated the leak had stopped.","On May 11, 2015, at approximately 10:00 hours, Flint Hills Resources Port Arthur, LLC (FHR) Operations personnel noticed increased temperatures downstream of motor operated valve MOV-102F. Elevated temperature readings downstream of a furnace to decoke drum MOV is a potential indicator of internal leakage through the MOV, which results in hydrocarbon effluent to the Light Olefins Unit (LOU) Decoking Drum No. 1 (LOUVENTDD1).","PORT ARTHUR, JEFFERSON","Emissions estimates are based on engineering estimate and judgment, stream speciation, flare flow rate, estimated duration, and engineering calculations. Emissions of benzene and 1,3 butadiene are estimated to have exceeded a federal RQ. Note that at the time of the Initial STEERS Report, formal emissions estimates were not available. FHR stated in the report that, “All amounts released, listed in this report, are preliminary estimates of the potential emissions. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.” By way of clarification, at the time of the Initial STEERS report, FHR utilized available information, engineering experience and judgment, and engineering calculations to identify the substances FHR anticipated could experience a release of an amount that might exceed an RQ.As a conservative measure, FHR is basing emission estimates upon an assumption that the leak began 24 hours prior to discovery. Based on information known to FHR, the release began on May 10, 2015 at about 10:00 hours. The release ended on May 11, 2015 at about 15:45 hours. For the purpose of this report, the duration for this event was 29 hours and 45 minutes. The Initial STEERS Report was entered as soon as practicable, but not later than 24 hours after the discovery of an emissions event as per § 101.201(a)(1)(A). In accordance to applicable regulations and guidelines, the National Response Center (NRC) and the Texas State Emergency Response Commission (SERC) were notified as indicated below. NRC# 1116184, P.O. Brent, 05/11/2015 15:12 hours SERC# 20151629, Tonya Owens, 05/11/2015 15:15 hours",05/10/2015 10:00AM,05/11/2015 3:45PM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,FINAL REPORT,EMISSIONS EVENT,213923
Opened hot gas bypass valve around the pressure control valve and opened up the accumulator vent to compressor suction to reseat PRV.,"During steam loadshed, the steam was shutdown to the MTBE tower, which closed the pressure control valve, elevating the tower pressure and causing the tower PSV to relieve to atmosphere.","HOUSTON, HARRIS",Engineering Calculations,05/12/2015 9:50AM,05/12/2015 9:55AM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,213996
FHR Operations personnel made process adjustments to stop the opacity event. The opacity dissipated after approximately 9 minutes after first observation.,"On May 12, 2015, at approximately 07:05 hours, Flint Hills Resources Port Arthur, LLC (FHR) personnel observed opacity from the Ethane Furnace. The excess opacity occurred while removing feed from the furnace during a shutdown of the Light Olefins Unit (LOU).","PORT ARTHUR, JEFFERSON","No certified opacity reader was on-site; therefore, out of an abundance of caution, opacity for this event is being reported as 100%. FHR is utilizing the best currently available information for this report. An investigation into the cause of the opacity event is on-going and all information is not yet available. The actual event duration and information regarding the cause of the event will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.",05/12/2015 7:05AM,05/12/2015 7:14AM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,INITIAL REPORT,EMISSIONS EVENT,214005
The pipe was blocked in and purged.,"A small hole in a 3"" pipe.","FREEPORT, BRAZORIA",engineering calculations,05/11/2015 9:30PM,05/11/2015 10:19PM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,214009
Streams were routed to an authorized control device until the third-party facility was able to complete necessary repairs and return the plant to normal operating conditions.,A third-party SMR Hydrogen plant experienced an unexpected shutdown which required venting of Hydrogen to the BUP Flare.,"CORPUS CHRISTI, NUECES",Engineering estimate based on flow and composition measurements.,05/13/2015 4:00PM,05/13/2015 11:20PM,5900 UP RIVER RD,RN100214386,VALERO CORPUS CHRISTI REFINERY WEST PLANT,FINAL REPORT,EMISSIONS EVENT,214142
Operations stabilized and depressurized the unit to the flare.,The Motiva Port Arthur Refinery safely flared while depressurizing LHCU after a recycle compressor trip due to excessive hydrocarbon accumulation in the recycle gas amine scrubber.,"PORT ARTHUR, JEFFERSON",Process engineering calculations.,05/15/2015 2:00AM,05/15/2015 3:43AM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,214242
"Efforts were made to keep vessel headspace pressures below the set pressures for the atmospheric relief valves in VOC service. However, vessel headspace pressure readings and rupture disk integrity checks indicated that relief valves opened to atmosphere for approximately 1 minute during the shutdown of Ethylene Unit 22.","Ethylene Unit 22 was taken out of service to allow maintenance activities to be performed on the gas-fired turbine. CO, NOx, and VOC emissions from Flares 10 (EPN: 56-61-10) and 12 (EPN: 56-61-12) during the unit shutdown are authorized by MSS caps in TCEQ air permit No. 22690. This notice is provided because relief valves in VOC service opened to atmosphere during the unit shutdown.","OLD OCEAN, BRAZORIA",The relief valve emissions are based on engineering calculations.,05/16/2015 7:02PM,05/16/2015 7:03PM,,RN100825249,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,FINAL REPORT,AIR SHUTDOWN,214273
Adjusted operations to depressure drum and stop flaring.,"Compressor response to a low pressure reading caused drum to pressure up, resulting in a safe utilization of the flare system.","BAYTOWN, HARRIS","Portions of the unit emissions are authorized by Permit #18287/PSD-TX-730M4/PAL7. Emission estimates are based on process and engineering knowledge, flow meters, and analyzer data. VOCs represent a mixture of C5+. Flaring occurred intermittently between 5/17/15 19:48 and 5/17/15 22:50. This event has ended. There is no impact to production.",05/17/2015 7:48PM,05/17/2015 10:10PM,,RN102579307,EXXON MOBIL BAYTOWN REFINERY,FINAL REPORT,EMISSIONS EVENT,214385
Once operations identified the leaking exchangers the section of the unit serviced by them was shut down. The exchangers were cleaned and the leaking tubes were plugged.,A tube leak in heat exchangers 08E-4C/D resulted in VOCs to enter the cooling water of the heat exchange system and be emitted from the cooling tower.,"PORT ARTHUR, JEFFERSON",Modified El Paso monitoring results and engineering calculations.,05/18/2015 3:17PM,05/20/2015 1:48PM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,214434
NAO-1797 followed start-up procedures which minimized flaring.,The Planned Startup notification for NAO-1797 start up from a unit turnaround is being retracted. The NAO-1797 unit start up emissions are authorized under NSR 37063.,"BAYTOWN, HARRIS",On-line flare instrumentation and engineering calculations were used to determine start up emissions.,05/21/2015 6:00AM,05/24/2015 6:00AM,,RN103919817,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,FINAL REPORT,AIR STARTUP,214442
NAO-1798 followed start-up procedures which minimized flaring.,The Planned Startup notification for NAO-1798 start up from a unit turnaround is being retracted. The NAO-1798 unit start up emissions are authorized under NSR 37063.,"BAYTOWN, HARRIS",On-line flare instrumentation and engineering calculations were used to determine emissions.,05/21/2015 6:00AM,05/24/2015 6:00AM,,RN103919817,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,FINAL REPORT,AIR STARTUP,214445
Ethylene Unit 22 was returned to service in a controlled fashion and vessel headspace pressures remained below the set pressures for the atmospheric relief valves in HVOC service.,"Ethylene Unit 22 was returned to service following an outage to allow maintenance to be performed on the gas-fired turbine. This notice was provided pursuant to 30 TAC 101.211(a) in case relief valves in HRVOC service (22PSV93s) opened to atmosphere during the unit start-up and released hydrocarbon in excess of a TCEQ reportable quantity. A detailed review of vessel headspace pressures during unit start-up activities was completed. This review indicated that vessel headspace pressures did not reach levels that Chevron Phillips would expect to result in PSVs opening to atmosphere. Therefore, Chevron Phillips requests to withdraw this air start-up report.","OLD OCEAN, BRAZORIA",Not applicable.,05/21/2015 6:00AM,05/21/2015 6:01AM,,RN100825249,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,FINAL REPORT,AIR STARTUP,214485
"Enterprise recovered as much hydrocarbon as possible from process vessels, equipment, and piping prior to clearing with nitrogen to the South Plant Flare (FL-1). The South Plant Flare was maintained and operated to ensure combustion of the remaining hydrocarbons.",Enterprise performed scheduled maintenance in the West Texas Frac II unit.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ-approved methodologies.",05/26/2015 9:15AM,05/28/2015 5:00PM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,MAINTENANCE,214550
Enterprise utilized good engineering practices and plans during the event. The North Plant flare was maintained and operated to ensure vented hydrocarbons were properly combusted.,An emissions event occurred which required a restart of the BEF unit.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ approved flare methodologies.",05/21/2015 10:00AM,05/29/2015 4:00AM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,EMISSIONS EVENT,214570
"Pump was isolated, stopping the leak and benzene in containment area was cleaned up.",Equipment malfunction - leak on temporary pump to containment,"TEXAS CITY, GALVESTON",Engineering estimates,05/21/2015 6:15PM,05/21/2015 6:45PM,,RN100210608,MARATHON PETROLEUM TEXAS CITY REFINERY,FINAL REPORT,EMISSIONS EVENT,214596
This maintenance activity has been delayed. There were no emissions from this event.,This maintenance activity has been delayed. There were no emissions from this event.,"FREEPORT, BRAZORIA",This maintenance activity has been delayed. There were no emissions from this event.,06/01/2015 12:01AM,06/10/2015 12:01AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,MAINTENANCE,214608
"After removal of the water and gasoline water mixture from the tank roof, the roof drain system was cleared of flow restricting materials to allow storm water to drain at a higher rate. The tank has remained in operation and had no issues draining water during Topical Storm Bill event. As for the phase out of the tank (or taking it out of service for API 653 inspection), the tank roof has been determined to be in serviceable condition after this incident and therefore will follow the regular API 653 inspection and maintenance schedule.","The incident investigation team concluded the root causes of the incident were flow restrictions in the tank floating roof drain system. A contributing factor was the extreme rainfall, estimated at approximately 9 inches, that occurred the evening of May 25th and morning of May 26th. The restrictions impeded the extreme flow of storm water from the roof through the drain system to the ground, somewhat like leaves clogging a rain gutter. This resulted in water accumulating on the roof. The weight of the water on the roof resulted in the roof sinking on one side slightly into the gasoline stored in the tank. Note that the floating roof pan is normally in full contact with the gasoline stored in the tank. As roof was weighted and sank, some of the gasoline from the tank moved upwards through the annular spaces between the leg sleeves and the roof legs and onto the surface of the water accumulated on the roof.","PASADENA, HARRIS","Based on field observations of the EFR in the tank the morning of the incident, it was estimated that 2/3 of the center deck area of the EFR roof surface was covered in water and/or gasoline. The exact surface area of the liquid could not be determined due to the complexity in calculating the actual surface area of the liquid surface on the listing deck. The deck area has a diameter of 124 ft. Total surface area of this section of the roof is 12,076 ft2 and 2/3rd of this area is 8,055 ft2. An evaporation rate of 0.02013 lbs./ft2-hr was determined from a computer model run using various temperatures and wind speeds. Other pool evaporative loss equations were tried, but the results were unreasonably high. Based on the estimate of the time the incident started and the end of the removal of water/gasoline mixture, the total time gasoline was on the roof was conservatively estimate at 20 hours. The estimated VOC emissions were determined by multiplying the liquid surface area by the emission factor then by 20 hrs. The calculated emissions were 3,243 lbs. The HAP emissions were calculated using the vapor weight percent of each compound used for EIQ emission calculations. This speciation information is included in the attached file.",05/26/2015 6:45AM,05/27/2015 2:45AM,100 JEFFERSON ST PASADENA TX,RN101062610,PASADENA PRODUCT TERMINAL,FINAL REPORT,EMISSIONS EVENT,214703
"Restarted area pumps, bypassed reactor and adjusted unit operations to stabilize the unit and minimize emissions.",The loss of a buss inside of a substation resulted in a reactor upset and safe utilization of the flare system.,"BAYTOWN, HARRIS","Portions of the unit emissions are authorized by Permit #3452/PSD-TX-302M2. Emissions are based on process and engineering knowledge, flow meters and analyzer data. VOCs represent a mixture of C5+. This event has ended. There is minimal impact to production. We expect to meet our contractual commitments.",05/26/2015 4:55PM,05/26/2015 6:59PM,,RN102212925,EXXON MOBIL CHEMICAL BAYTOWN OLEFINS PLANT,FINAL REPORT,EMISSIONS EVENT,214719
The pollutant is not currently part of the permit allowable limits. A permit amendment to include pollutant in the allowable limits will be submitted by the end of May 2015. This emission event will be ongoing until the permit has been approved and the allowable limits are established. Current release rate is 2.60 lbs/hr.,"Based on a stack test conducted on April 16, 2015, pollutant from the unit was above the RQ.","CORPUS CHRISTI, NUECES","Unit stack data provided from the vendor during the stack test. Additionally, the Residual Risk Rule concluded that CO is a surrogate for HCN and HCN was not proposed as a separate MACT standard. The rule also concluded that installing controlls for HCN does not improve health risks.",04/16/2015 9:00AM,06/10/2015 9:00AM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,214724
The pollutant is not currently part of the permit allowable limits. A permit amendment to include pollutant in the allowable limits will be submitted by the end of May 2015. This emission event will be ongoing until the permit has been approved and the allowable limits are established. Current release rate is 39.42 lbs/hr.,"Based on a stack test conducted on April 15, 2015, pollutant from the unit was above the RQ.","CORPUS CHRISTI, NUECES","Unit stack data provided from the vendor during the stack test. Additionally, the Residual Risk Rule concluded that CO is a surrogate for HCN and HCN was not proposed as a separate MACT standard. The rule also concluded that installing controlls for HCN does not improve health risks.",04/15/2015 9:00AM,06/10/2015 9:00AM,1802 NUECES BAY BLVD CORPUS CHRISTI TX,RN102555166,CITGO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,214725
Operators immediately sprayed area with water to suppress vapors. Additionally the tower was isolated which stopped flow to the stainer and stopped the emission event.,"Emmission event occured when a filter on a bottoms strainer was being checked. When the lid to the strainer was opened, the contents of tower 4D6 released through the open stainer.","HOUSTON, HARRIS",Engineering Calculations.,05/26/2015 6:28PM,05/26/2015 6:40PM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,214727
"Operations personnel responded as quickly as possible to address the issue and minimize potential impact. The exchanger was blocked-in. After further refinement of cooling tower flow rate and obtaining a vapor stream analysis, emissions from this event was determined to not exceed any reportable quantities.","At Crude Unit AVU-146, a leak developed in exchanger E-102 into the cooling water. After further refinement of cooling tower flow rate and obtaining a vapor stream analysis, emissions from this event was determined to not exceed any reportable quantities.","PORT ARTHUR, JEFFERSON","Engineering estimates and El Paso Testing were used to submit the initial STEERS report. After further refinement of cooling tower flow rate and obtaining a vapor stream analysis, emissions from this event were determined to not exceed any reportable quantities.",05/27/2015 2:59PM,05/27/2015 10:11PM,"1801 S GULFWAY DR, PORT ARTHUR, TX",RN102584026,VALERO PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,214731
Ammonia injection line was unplugged which allowed proper feed of ammonia to SCR.,Ammonia injection system plugged which did not allow ammonia injection to Selective Catalytic Reduction system (SCR). The SCR was not able to reduce NOx emissions due to lack of adequate ammonia.,"HOUSTON, HARRIS",Engineering calculations.,05/28/2015 3:00PM,05/30/2015 2:00AM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,214807
Enterprise utilized good engineering practices and plans during the restart activities. The South Plant Flare (FL-1) was maintained and operated to ensure combustion of the vented hydrocarbons.,Enterprise restarted the West Texas Frac II unit after completing scheduled maintenance activities.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ-approved methodologies.",06/06/2015 1:45AM,06/06/2015 10:00PM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,AIR STARTUP,214837
The unit was restarted as soon as practical to end flaring. NH3 flow to the reformer SCR was started as quickly as possible to minimize NOx emissions.,A unit trip resulted in flaring emissions and the subsequent unit restart resulted in flaring and emissions from the reformer.,"CHANNELVIEW, HARRIS",Engineering Estimates.,05/28/2015 9:40PM,05/29/2015 2:00PM,APPROX 1 MI N OF SHELDON RD & WALLSVILLE RD INTXN KEY MAP - 458K,RN100542281,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,FINAL REPORT,EMISSIONS EVENT,214846
The unit was restarted as soon as possible to end flaring. NH3 flow to the reformer SCR was started as quickly as possible to minimize NOx emissions.,A unit trip resulted in flaring emissions and the subsequent unit restart resulted in flaring and reformer emissions.,"CHANNELVIEW, HARRIS","Engineering Estimates. Two verbal notifications were made for this event. The first was made (Report# 20152012) due to exceeding the Texas RQ for NOx (TCEQ and Harris County) and the second notification (Report #20152018) was made to NRC, TCEQ, LEPC, and Harris County once the federal RQ for NOx was expected to be exceeded. Contacted Irene Tucker or Region 12 and was told a second STEERS was not needed due to exceeding the RQ, but to ensure the emissions were included in the STEERS final report.",05/31/2015 2:52PM,06/02/2015 2:00AM,APPROX 1 MI N OF SHELDON RD & WALLSVILLE RD INTXN KEY MAP - 458K,RN100542281,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,FINAL REPORT,EMISSIONS EVENT,214989
Operations followed safe unit shutdown procedures to minimize emissions.,Planned unit shutdown.,"PASADENA, HARRIS",Flare calculations were obtained by using flow indications and data provided by the flare analyzers to estimate emissions. Best engineering calculations were performed to estimate other emissions.,06/01/2015 3:55PM,06/04/2015 10:47AM,111 RED BLUFF RD,RN100716661,PASADENA REFINING SYSTEM,FINAL REPORT,AIR SHUTDOWN,215014
"On 6/1/2015 at 11:00 AM, KM used a vacuum truck to remove product and water from roof to determine location of leak. On 6/3/2015 at 8:00 AM, KM started the outbound movement of the product from Tank 150-24. On 6/3/2015 at 9:00 AM, product and water was again removed from the roof of the tank via a vacuum truck through the tank's roof drain. On 6/3/2015 at 5:00 PM the remaining product on top of the floating roof was able to be removed because the product level in the Tank 150-24 was below the roof. Once the product level was below the roof, the remaining pooled product on the roof was removed, and the process to clean and degas the tank was started. The tank is still in the process of being cleaned and degassed.","A leak was found by the rolling ladder on the external floating roof of Tank 150-24. Due to the extra pressure on the roof from the ladder, these areas tend to be low points where water typically collects. The low areas hold water and may have accelerated the corrosion of the roof. At some point in the past, fiberglass patches were placed over and extend past the repads. The part of the floating roof under the rolling ladder tends to flex, which appears to have caused the fiberglass to develop cracks and separate from the carbon steel. These cracks are where the leak appears to be coming from.","PASADENA, HARRIS",RMP Spill equation used to estimate air emissions from event.,06/01/2015 7:00AM,06/05/2015 4:00PM,530 NORTH WITTER,RN100224815,PASADENA TERMINAL,FINAL REPORT,EMISSIONS EVENT,215062
Operations followed start up procedures to minimize emissions.,Planned unit start up.,"PASADENA, HARRIS","Estimates based on best engineering estimates. Final report included actual emissions estimates using flare flow measurements, analyzer data and other best engineering estimates.",06/04/2015 10:00AM,06/04/2015 1:00PM,111 RED BLUFF RD,RN100716661,PASADENA REFINING SYSTEM,FINAL REPORT,AIR STARTUP,215150
Leak was isolated and downstream piping was depressurized to Z-101 and SYS-740 flare.,A gas leak occurred on the sight glass of D-120-A knockout drum.,"BAYTOWN, HARRIS",Engineering estimates and online analyzers were used to calculate emissions.,06/02/2015 1:51AM,06/02/2015 2:33AM,,RN103919817,CHEVRON PHILLIPS CHEMICAL CEDAR BAYOU PLANT,FINAL REPORT,EMISSIONS EVENT,215154
